ITEM_ID,CATEGORY,SUBCATEGORY,PRICE
1,Moda y accesorios,Camisetas,1
2,Electrodomi,Otros,400
3,Tecnologi,Celulares y teli,600
4,Tecnologi,Celulares y teli,3000
5,Servicios y maquinaria,Otros servicios,3500
6,Deportes y entretenimiento,Instrumentos musicales y accesorios,5000
7,Deportes y entretenimiento,Libros,5000
8,Deportes y entretenimiento,Libros,5000
9,Deportes y entretenimiento,Libros,5000
10,Deportes y entretenimiento,Libros,5000
11,Deportes y entretenimiento,Libros,5000
12,Deportes y entretenimiento,Libros,5000
13,Moda y accesorios,Accesorios,6000
14,Hogar y decoracii,Bai,8000
15,Vehi,Motos,8900
16,Moda y accesorios,Ropa interior,10000
17,Deportes y entretenimiento,Libros,10000
18,Servicios y maquinaria,Reparaciones,10000
19,Deportes y entretenimiento,Libros,10000
20,Servicios y maquinaria,Disei,10000
21,Deportes y entretenimiento,Libros,10000
22,Tecnologi,Accesorios tecnologi,10000
23,Moda y accesorios,Otros,10000
24,Servicios y maquinaria,Regalos,10000
25,Bebi,Ropa y accesorios,15000
26,Hogar y decoracii,Decoracii,15000
27,Servicios y maquinaria,Otros servicios,15000
28,Vehi,Accesorios,18000
29,Hogar y decoracii,Decoracii,19900
30,Moda y accesorios,Accesorios,20000
31,Moda y accesorios,Accesorios,20000
32,Hogar y decoracii,Oficinas,20000
33,Hogar y decoracii,Decoracii,20000
34,Servicios y maquinaria,Regalos,20000
35,Moda y accesorios,Accesorios,20000
36,Moda y accesorios,Camisetas,25000
37,Deportes y entretenimiento,Arti,25000
38,Servicios y maquinaria,Disei,25000
39,Deportes y entretenimiento,Libros,25000
40,Servicios y maquinaria,Regalos,27000
41,Hogar y decoracii,Decoracii,28000
42,Inmuebles,Lotes,28000
43,Moda y accesorios,Pijamas,30000
44,Servicios y maquinaria,Otros servicios,30000
45,Hogar y decoracii,Decoracii,30000
46,Hogar y decoracii,Otros   ,30000
47,Moda y accesorios,Camisetas deportivas,30000
48,Hogar y decoracii,Decoracii,30000
49,Hogar y decoracii,Salas,30000
50,Hogar y decoracii,Otros   ,30000
51,Servicios y maquinaria,Regalos,30000
52,Hogar y decoracii,Otros   ,30000
53,Tecnologi,Accesorios tecnologi,30000
54,Tecnologi,Accesorios tecnologi,30000
55,Servicios y maquinaria,Regalos,30000
56,Moda y accesorios,Bermudas y pantalonetas,30000
57,Vehi,Carros,33000
58,Bebi,Otros,35000
59,Tecnologi,Tv - reproductores de video,35000
60,Moda y accesorios,Accesorios,35000
61,Inmuebles,Lotes,35000
62,Tecnologi,Accesorios tecnologi,35000
63,Hogar y decoracii,Decoracii,35000
64,Bebi,Otros,38000
65,Moda y accesorios,Camisetas,39000
66,Moda y accesorios,Otros,40000
67,Electrodomi,Cocinas,40000
68,Bebi,Otros,40000
69,Moda y accesorios,Trajes,41000
70,Tecnologi,Videojuegos - consolas,45000
71,Bebi,Dormitorios - cunas,45000
72,Bebi,Ropa y accesorios,48000
73,Hogar y decoracii,Decoracii,49000
74,Bebi,Ropa y accesorios,50000
75,Servicios y maquinaria,Regalos,50000
76,Vehi,Accesorios,50000
77,Tecnologi,Camaras y accesorios,50000
78,Tecnologi,Audio,50000
79,Bebi,Dormitorios - cunas,50000
80,Electrodomi,Otros,50000
81,Hogar y decoracii,Decoracii,50000
82,Hogar y decoracii,Decoracii,50000
83,Bebi,Otros,50000
84,Tecnologi,Computadores  laptops y accesorios,50000
85,Bebi,Ropa y accesorios,50000
86,Hogar y decoracii,Otros   ,50000
87,Tecnologi,Accesorios tecnologi,50000
88,Moda y accesorios,Accesorios,50000
89,Tecnologi,Videojuegos - consolas,50000
90,Moda y accesorios,Otros,50000
91,Tecnologi,Videojuegos - consolas,50000
92,Servicios y maquinaria,Regalos,55000
93,Tecnologi,Audio,55000
94,Hogar y decoracii,Jardineri,55000
95,Servicios y maquinaria,Regalos,60000
96,Tecnologi,Videojuegos - consolas,60000
97,Servicios y maquinaria,Reparaciones,60000
98,Servicios y maquinaria,Regalos,60000
99,Tecnologi,Videojuegos - consolas,60000
100,Moda y accesorios,Pantalones y jeans,65000
101,Tecnologi,Videojuegos - consolas,65000
102,Tecnologi,Audio,65000
103,Inmuebles,Fincas,70000
104,Bebi,Dormitorios - cunas,70000
105,Tecnologi,Audio,70000
106,Tecnologi,Computadores  laptops y accesorios,70000
107,Hogar y decoracii,Decoracii,70000
108,Hogar y decoracii,Decoracii,70000
109,Servicios y maquinaria,Reparaciones,70000
110,Hogar y decoracii,Otros   ,70000
111,Electrodomi,Cocinas,70000
112,Servicios y maquinaria,Domicilios,70000
113,Inmuebles,Apartamentos,70000
114,Moda y accesorios,Camisetas deportivas,70000
115,Tecnologi,Videojuegos - consolas,70000
116,Bebi,Juguetes,75000
117,Hogar y decoracii,Decoracii,75000
118,Moda y accesorios,Otros,75000
119,Servicios y maquinaria,Regalos,75000
120,Moda y accesorios,Bermudas y pantalonetas,75000
121,Deportes y entretenimiento,Bicicletas y accesorios,78000
122,Tecnologi,Accesorios tecnologi,78900
123,Moda y accesorios,Otros,80000
124,Bebi,Otros,80000
125,Servicios y maquinaria,Otros servicios,80000
126,Deportes y entretenimiento,Colecciones,80000
127,Hogar y decoracii,Otros   ,80000
128,Hogar y decoracii,Otros   ,80000
129,Hogar y decoracii,Muebles,80000
130,Bebi,Juguetes,80000
131,Bebi,Ropa y accesorios,80000
132,Servicios y maquinaria,Regalos,85000
133,Bebi,Ropa y accesorios,87000
134,Hogar y decoracii,Salas,90000
135,Moda y accesorios,Zapatos,90000
136,Tecnologi,Videojuegos - consolas,90000
137,Bebi,Otros,90000
138,Tecnologi,Accesorios tecnologi,94000
139,Tecnologi,Videojuegos - consolas,95000
140,Electrodomi,Cocinas,96000
141,Tecnologi,Accesorios tecnologi,98000
142,Servicios y maquinaria,Clases - cursos,99000
143,Moda y accesorios,Otros,99900
144,Bebi,Otros,100000
145,Deportes y entretenimiento,Arti,100000
146,Inmuebles,Apartamentos,100000
147,Deportes y entretenimiento,Instrumentos musicales y accesorios,100000
148,Tecnologi,Audio,100000
149,Hogar y decoracii,Decoracii,100000
150,Tecnologi,Computadores  laptops y accesorios,100000
151,Tecnologi,Impresoras - scanners,100000
152,Servicios y maquinaria,Otros servicios,100000
153,Hogar y decoracii,Dormitorios,100000
154,Electrodomi,Otros,100000
155,Hogar y decoracii,Decoracii,100000
156,Tecnologi,Impresoras - scanners,100000
157,Tecnologi,Videojuegos - consolas,105000
158,Bebi,Otros,110000
159,Hogar y decoracii,Muebles,110000
160,Deportes y entretenimiento,Boleteri,110000
161,Deportes y entretenimiento,Boleteri,112000
162,Tecnologi,Accesorios tecnologi,117350
163,Moda y accesorios,Otros,120000
164,Moda y accesorios,Vestidos,120000
165,Moda y accesorios,Vestidos,120000
166,Moda y accesorios,Vestidos,120000
167,Hogar y decoracii,Salas,120000
168,Moda y accesorios,Tenis,120000
169,Tecnologi,Audio,120000
170,Hogar y decoracii,Decoracii,120000
171,Bebi,Otros,120000
172,Tecnologi,Accesorios tecnologi,124900
173,Servicios y maquinaria,Regalos,125000
174,Tecnologi,Videojuegos - consolas,125000
175,Tecnologi,Videojuegos - consolas,130000
176,Hogar y decoracii,Salas,130000
177,Hogar y decoracii,Salas,130000
178,Tecnologi,Videojuegos - consolas,130000
179,Deportes y entretenimiento,Arti,130000
180,Tecnologi,Videojuegos - consolas,135000
181,Electrodomi,Cocinas,140000
182,Moda y accesorios,Otros,140000
183,Tecnologi,Audio,140000
184,Bebi,Otros,140000
185,Tecnologi,Videojuegos - consolas,145000
186,Tecnologi,Tv - reproductores de video,149000
187,Hogar y decoracii,Muebles,150000
188,Inmuebles,Fincas,150000
189,Tecnologi,Computadores  laptops y accesorios,150000
190,Inmuebles,Apartamentos,150000
191,Bebi,Dormitorios - cunas,150000
192,Tecnologi,Computadores  laptops y accesorios,150000
193,Hogar y decoracii,Salas,150000
194,Deportes y entretenimiento,Arti,150000
195,Inmuebles,Apartamentos,150000
196,Deportes y entretenimiento,Arti,150000
197,Bebi,Coches,150000
198,Deportes y entretenimiento,Otros    ,150000
199,Bebi,Coches,150000
200,Hogar y decoracii,Muebles,150000
201,Inmuebles,Apartamentos,150000
202,Electrodomi,Aire acondicionados - ventiladores,150000
203,Tecnologi,Otros     ,155000
204,Tecnologi,Videojuegos - consolas,160000
205,Moda y accesorios,Tenis,160000
206,Deportes y entretenimiento,Boleteri,160000
207,Tecnologi,Accesorios tecnologi,160000
208,Hogar y decoracii,Salas,160000
209,Hogar y decoracii,Muebles,160000
210,Tecnologi,Videojuegos - consolas,165000
211,Tecnologi,Accesorios tecnologi,168000
212,Moda y accesorios,Camisetas deportivas,169000
213,Moda y accesorios,Camisetas deportivas,169000
214,Moda y accesorios,Camisetas deportivas,169000
215,Moda y accesorios,Camisetas deportivas,169000
216,Inmuebles,Apartamentos,170000
217,Tecnologi,Celulares y teli,170000
218,Electrodomi,Otros,170000
219,Moda y accesorios,Otros,170000
220,Hogar y decoracii,Salas,170000
221,Deportes y entretenimiento,Arti,170000
222,Tecnologi,Accesorios tecnologi,177000
223,Moda y accesorios,Blusas y camisas,179000
224,Moda y accesorios,Blusas y camisas,179000
225,Moda y accesorios,Blusas y camisas,179000
226,Bebi,Dormitorios - cunas,180000
227,Electrodomi,Cocinas,180000
228,Tecnologi,Computadores  laptops y accesorios,180000
229,Tecnologi,Tv - reproductores de video,180000
230,Bebi,Dormitorios - cunas,180000
231,Electrodomi,Otros,180000
232,Hogar y decoracii,Muebles,180000
233,Moda y accesorios,Blusas y camisas,190000
234,Moda y accesorios,Blusas y camisas,190000
235,Moda y accesorios,Blusas y camisas,190000
236,Tecnologi,Tv - reproductores de video,190000
237,Tecnologi,Computadores  laptops y accesorios,199900
238,Inmuebles,Fincas,200000
239,Electrodomi,Otros,200000
240,Moda y accesorios,Zapatos,200000
241,Electrodomi,Otros,200000
242,Tecnologi,Computadores  laptops y accesorios,200000
243,Tecnologi,Computadores  laptops y accesorios,200000
244,Tecnologi,Computadores  laptops y accesorios,200000
245,Servicios y maquinaria,Maquinarias,200000
246,Hogar y decoracii,Dormitorios,200000
247,Hogar y decoracii,Decoracii,200000
248,Moda y accesorios,Pantalones deportivos,214000
249,Moda y accesorios,Pantalones deportivos,214000
250,Deportes y entretenimiento,Boleteri,220000
251,Deportes y entretenimiento,Bicicletas y accesorios,220000
252,Deportes y entretenimiento,Bicicletas y accesorios,220000
253,Inmuebles,Fincas,220000
254,Inmuebles,Apartamentos,220000
255,Bebi,Otros,230000
256,Deportes y entretenimiento,Bicicletas y accesorios,250000
257,Electrodomi,Otros,250000
258,Moda y accesorios,Vestidos,250000
259,Servicios y maquinaria,Otros servicios,250000
260,Bebi,Dormitorios - cunas,250000
261,Deportes y entretenimiento,Bicicletas y accesorios,250000
262,Moda y accesorios,Otros,250000
263,Hogar y decoracii,Salas,250000
264,Deportes y entretenimiento,Arti,250000
265,Hogar y decoracii,Muebles,250000
266,Deportes y entretenimiento,Boleteri,250000
267,Hogar y decoracii,Muebles,250000
268,Hogar y decoracii,Dormitorios,250000
269,Hogar y decoracii,Salas,260000
270,Moda y accesorios,Otros,260000
271,Moda y accesorios,Otros,260000
272,Hogar y decoracii,Salas,270000
273,Tecnologi,Celulares y teli,270000
274,Deportes y entretenimiento,Arti,275000
275,Hogar y decoracii,Muebles,280000
276,Vehi,Accesorios,280000
277,Tecnologi,Accesorios tecnologi,280000
278,Tecnologi,Celulares y teli,280000
279,Vehi,Accesorios,280000
