USER_ID,UBICATION,CORPORATE
36,Medellin,Sufi
85,Medellin,Bancolombia
144,Medellin,Bancolombia
194,Medellin,Bancolombia
227,Medellin,Bancolombia
233,Medellin,Bancolombia
234,Medellin,Bancolombia
250,Medellin,Bancolombia
313,Medellin,Bancolombia
318,Medellin,Bancolombia
326,Medellin,Bancolombia
335,Barranquilla,Bancolombia
336,Medellin,Bancolombia
396,Medellin,Bancolombia
408,Medellin,Bancolombia
427,Medellin,Bancolombia
451,Medellin,Bancolombia
470,Medellin,Bancolombia
481,Medellin,Bancolombia
485,Medellin,Bancolombia
521,Medellin,Bancolombia
554,Medellin,Bancolombia
582,Medellin,Bancolombia
601,Medellin,Bancolombia
632,Medellin,Bancolombia
660,Medellin,Bancolombia
681,Medellin,Bancolombia
712,Medellin,Bancolombia
764,Medellin,Bancolombia
772,Villavicencio,Bancolombia
792,Neiva,Bancolombia
794,Medellin,Bancolombia
806,Envigado,Bancolombia
814,Medellin,Bancolombia
821,Medellin,Bancolombia
872,Medellin,Bancolombia
926,Medellin,Bancolombia
927,Medellin,Bancolombia
940,Medellin,Bancolombia
951,Medellin,Bancolombia
982,Medellin,Bancolombia
1005,Medellin,Bancolombia
1009,Medellin,Bancolombia
1030,Medellin,Bancolombia
1062,Medellin,Bancolombia
1073,Medellin,Bancolombia
1091,Medellin,Bancolombia
1128,Medellin,Bancolombia
1134,Medellin,Bancolombia
1146,Medellin,Bancolombia
1170,Medellin,Bancolombia
1184,Medellin,Bancolombia
1188,Medellin,Bancolombia
1215,Medellin,Bancolombia
1245,Medellin,Bancolombia
1282,Medellin,Bancolombia
1294,Medellin,Bancolombia
1302,Medellin,Bancolombia
1311,Medellin,Bancolombia
1314,Medellin,Bancolombia
1323,Medellin,Bancolombia
1340,Medellin,Bancolombia
1362,Medellin,Bancolombia
1421,Medellin,Bancolombia
1432,Medellin,Bancolombia
1439,Medellin,Bancolombia
1448,Medellin,Bancolombia
1478,Medellin,Bancolombia
1486,Medellin,Bancolombia
1492,Medellin,Bancolombia
1496,Medellin,Bancolombia
1525,Medellin,Bancolombia
1537,Medellin,Bancolombia
1559,Medellin,Bancolombia
1578,Medellin,Bancolombia
1583,Medellin,Bancolombia
1590,Medellin,Bancolombia
1654,Medellin,Renting
1655,Medellin,Renting
1747,Medellin,Bancolombia
1775,Medellin,Renting
1790,Santafe De Bogota D.C.,Bancolombia
1792,Medellin,Bancolombia
1842,Medellin,Bancolombia
1850,Medellin,Bancolombia
1862,Santa Rosa De Osos,Bancolombia
1877,Manizales,Bancolombia
1887,Medellin,Bancolombia
1909,Medellin,Bancolombia
1956,Medellin,Bancolombia
1984,Medellin,Bancolombia
1989,Medellin,Bancolombia
2007,Envigado,Bancolombia
2031,Medellin,Bancolombia
2047,Medellin,Bancolombia
2060,Santafe De Bogota D.C.,Bancolombia
2079,Medellin,Bancolombia
2094,Medellin,Bancolombia
2108,Medellin,Bancolombia
2131,Envigado,Bancolombia
2132,Medellin,Bancolombia
2153,Medellin,Bancolombia
2163,Medellin,Bancolombia
2170,Medellin,Bancolombia
2226,Medellin,Bancolombia
2242,Rionegro,Bancolombia
2258,Medellin,Bancolombia
2279,Medellin,Bancolombia
2379,Medellin,Bancolombia
2496,Medellin,Bancolombia
2660,Santafe De Bogota D.C.,Bancolombia
2672,Medellin,Bancolombia
2692,Medellin,Bancolombia
2694,Santafe De Bogota D.C.,Bancolombia
2709,Medellin,Bancolombia
2883,Medellin,Bancolombia
2904,Medellin,Bancolombia
2932,Cali,Bancolombia
2936,Medellin,Bancolombia
2955,Medellin,Bancolombia
2972,Medellin,Bancolombia
2998,Medellin,Bancolombia
3030,Sabaneta,Bancolombia
3080,Medellin,Bancolombia
3177,Sabaneta,Bancolombia
3182,Medellin,Bancolombia
3186,Santafe De Bogota D.C.,Bancolombia
3202,Medellin,Bancolombia
3298,Medellin,Bancolombia
3408,Medellin,Bancolombia
3471,Medellin,Bancolombia
3481,Medellin,Bancolombia
3614,Soacha,Bancolombia
3643,Medellin,Bancolombia
3647,Tocancipa,Bancolombia
3651,Santafe De Bogota D.C.,Bancolombia
3671,Aguachica,Bancolombia
3672,Cali,Bancolombia
3743,Medellin,Bancolombia
3755,Medellin,Bancolombia
